NM_MUN,bacia,populacao,domestico_t_ano,reciclavel_t_ano,risco
Balneário Piçarras,Outras Bacias,27127.0,9406.28725,940.628725,BAIXO
Pinhalzinho,Outras Bacias,21972.0,7618.790999999999,761.8791,BAIXO
Pinheiro Preto,Outras Bacias,3473.0,1204.26275,120.42627500000002,BAIXO
Piratuba,Outras Bacias,5769.0,2000.40075,200.040075,BAIXO
Planalto Alegre,Outras Bacias,2946.0,1021.5254999999999,102.15254999999999,BAIXO
Pomerode,Outras Bacias,34289.0,11889.71075,1188.9710750000002,BAIXO
Ponte Alta,Outras Bacias,4437.0,1538.5297499999997,153.852975,BAIXO
Ponte Alta do Norte,Outras Bacias,3210.0,1113.0675,111.30675000000002,BAIXO
Ponte Serrada,Outras Bacias,10649.0,3692.5407499999997,369.254075,BAIXO
Porto Belo,Outras Bacias,27688.0,9600.814,960.0814,BAIXO
Porto União,Outras Bacias,32970.0,11432.3475,1143.23475,BAIXO
Pouso Redondo,Outras Bacias,17123.0,5937.400249999999,593.740025,BAIXO
Praia Grande,Outras Bacias,8270.0,2867.6225,286.76225,BAIXO
Presidente Castello Branco,Outras Bacias,1689.0,585.66075,58.566075000000005,BAIXO
Presidente Getúlio,Outras Bacias,20010.0,6938.4675,693.84675,BAIXO
Presidente Nereu,Outras Bacias,2301.0,797.8717499999999,79.78717499999999,BAIXO
Princesa,Outras Bacias,2964.0,1027.7669999999998,102.77669999999999,BAIXO
Quilombo,Outras Bacias,11022.0,3821.8785,382.18785,BAIXO
Rancho Queimado,Outras Bacias,3279.0,1136.99325,113.699325,BAIXO
Rio das Antas,Outras Bacias,6253.0,2168.22775,216.822775,BAIXO
Rio do Campo,Outras Bacias,6452.0,2237.231,223.72310000000004,BAIXO
Rio do Oeste,Outras Bacias,7747.0,2686.27225,268.627225,BAIXO
Rio dos Cedros,Outras Bacias,10865.0,3767.43875,376.743875,BAIXO
Rio do Sul,Bacia do Itajaí,72587.0,25169.542249999995,2516.9542249999995,BAIXO
Rio Fortuna,Outras Bacias,4847.0,1680.6972499999997,168.06972499999998,BAIXO
Rio Negrinho,Outras Bacias,39261.0,13613.751749999998,1361.375175,BAIXO
Rio Rufino,Outras Bacias,2397.0,831.15975,83.115975,BAIXO
Riqueza,Outras Bacias,4768.0,1653.3039999999999,165.3304,BAIXO
Rodeio,Outras Bacias,12757.0,4423.48975,442.348975,BAIXO
Romelândia,Outras Bacias,4823.0,1672.3752499999998,167.237525,BAIXO
Salete,Outras Bacias,7489.0,2596.8107499999996,259.68107499999996,BAIXO
Saltinho,Outras Bacias,3632.0,1259.3959999999997,125.93959999999998,BAIXO
Salto Veloso,Outras Bacias,4390.0,1522.2325,152.22325,BAIXO
Sangão,Outras Bacias,12882.0,4466.8335,446.68335,BAIXO
Santa Cecília,Outras Bacias,15546.0,5390.5755,539.05755,BAIXO
Santa Helena,Outras Bacias,2425.0,840.86875,84.086875,BAIXO
Santa Rosa de Lima,Outras Bacias,2088.0,724.014,72.40140000000001,BAIXO
Santa Rosa do Sul,Outras Bacias,9792.0,3395.376,339.53760000000005,BAIXO
Santa Terezinha,Outras Bacias,8066.0,2796.8855,279.68855,BAIXO
Santa Terezinha do Progresso,Outras Bacias,2576.0,893.2279999999998,89.32279999999999,BAIXO
Santiago do Sul,Outras Bacias,1651.0,572.4842499999999,57.24842499999999,BAIXO
Santo Amaro da Imperatriz,Outras Bacias,27272.0,9456.566,945.6566000000001,BAIXO
São Bernardino,Outras Bacias,2684.0,930.6769999999999,93.0677,BAIXO
São Bento do Sul,Outras Bacias,83277.0,28876.299749999995,2887.629975,BAIXO
São Bonifácio,Outras Bacias,2946.0,1021.5254999999999,102.15254999999999,BAIXO
São Carlos,Outras Bacias,10282.0,3565.2835,356.52835000000005,BAIXO
São Cristóvão do Sul,Outras Bacias,6084.0,2109.627,210.9627,BAIXO
São Domingos,Outras Bacias,9226.0,3199.1154999999994,319.91155,BAIXO
São Francisco do Sul,Bacia Litorânea Norte,52674.0,18264.7095,1826.4709500000001,BAIXO
São João do Oeste,Outras Bacias,6295.0,2182.79125,218.27912500000002,BAIXO
São João Batista,Outras Bacias,32687.0,11334.21725,1133.421725,BAIXO
São João do Itaperiú,Outras Bacias,4463.0,1547.5452499999997,154.75452499999997,BAIXO
São João do Sul,Outras Bacias,8668.0,3005.629,300.5629,BAIXO
São Joaquim,Bacia do Canoas,25939.0,8994.34825,899.4348249999999,BAIXO
São José,Bacia Litorânea Central,270299.0,93726.17825,9372.617825,MÉDIO
São José do Cedro,Bacia Litorânea Central,14167.0,4912.40725,491.24072500000005,BAIXO
São José do Cerrito,Bacia Litorânea Central,8708.0,3019.499,301.9499,BAIXO
São Lourenço do Oeste,Outras Bacias,24791.0,8596.279249999998,859.6279249999998,BAIXO
São Ludgero,Outras Bacias,13509.0,4684.24575,468.424575,BAIXO
São Martinho,Outras Bacias,3405.0,1180.68375,118.068375,BAIXO
São Miguel da Boa Vista,Outras Bacias,1781.0,617.5617499999998,61.756174999999985,BAIXO
São Miguel do Oeste,Bacia do Uruguai,44330.0,15371.4275,1537.14275,BAIXO
São Pedro de Alcântara,Outras Bacias,5776.0,2002.828,200.2828,BAIXO
Saudades,Outras Bacias,10265.0,3559.38875,355.93887500000005,BAIXO
Schroeder,Outras Bacias,20061.0,6956.15175,695.615175,BAIXO
Seara,Outras Bacias,18620.0,6456.485,645.6485,BAIXO
Serra Alta,Outras Bacias,3303.0,1145.31525,114.53152500000002,BAIXO
Siderópolis,Outras Bacias,13714.0,4755.3295,475.53295,BAIXO
Sombrio,Outras Bacias,29991.0,10399.379249999998,1039.937925,BAIXO
Sul Brasil,Outras Bacias,2832.0,981.996,98.1996,BAIXO
Taió,Outras Bacias,18310.0,6348.9925,634.89925,BAIXO
Tangará,Outras Bacias,8143.0,2823.58525,282.35852500000004,BAIXO
Tigrinhos,Outras Bacias,2329.0,807.5807499999999,80.75807499999999,BAIXO
Tijucas,Outras Bacias,51592.0,17889.525999999998,1788.9525999999998,BAIXO
Timbé do Sul,Outras Bacias,5386.0,1867.5955,186.75955,BAIXO
Timbó,Outras Bacias,46099.0,15984.828249999999,1598.482825,BAIXO
Timbó Grande,Outras Bacias,7342.0,2545.8385,254.58384999999998,BAIXO
Três Barras,Outras Bacias,19746.0,6846.9255,684.6925500000001,BAIXO
Treviso,Outras Bacias,3782.0,1311.4084999999998,131.14084999999997,BAIXO
Treze de Maio,Outras Bacias,7362.0,2552.7735,255.27734999999998,BAIXO
Treze Tílias,Outras Bacias,8787.0,3046.89225,304.689225,BAIXO
Trombudo Central,Outras Bacias,7274.0,2522.2594999999997,252.22594999999998,BAIXO
Tubarão,Bacia do Tubarão,110088.0,38173.014,3817.3014000000003,BAIXO
Tunápolis,Outras Bacias,4916.0,1704.623,170.46230000000003,BAIXO
Turvo,Outras Bacias,13043.0,4522.660249999999,452.2660249999999,BAIXO
União do Oeste,Outras Bacias,2774.0,961.8844999999999,96.18844999999999,BAIXO
Urubici,Outras Bacias,10834.0,3756.6894999999995,375.66895,BAIXO
Urupema,Outras Bacias,2656.0,920.9679999999998,92.09679999999999,BAIXO
Urussanga,Outras Bacias,20919.0,7253.66325,725.366325,BAIXO
Vargeão,Outras Bacias,3634.0,1260.0895,126.00895000000001,BAIXO
Vargem,Outras Bacias,2627.0,910.91225,91.09122500000001,BAIXO
Vargem Bonita,Outras Bacias,4576.0,1586.728,158.67280000000002,BAIXO
Vidal Ramos,Outras Bacias,6189.0,2146.0357499999996,214.60357499999998,BAIXO
Videira,Bacia do Rio do Peixe,55466.0,19232.8355,1923.28355,BAIXO
Vitor Meireles,Outras Bacias,5370.0,1862.0475,186.20475,BAIXO
Witmarsum,Outras Bacias,4255.0,1475.42125,147.54212500000003,BAIXO
Xanxerê,Bacia do Uruguai,51607.0,17894.727249999996,1789.4727249999996,BAIXO
Xavantina,Outras Bacias,3653.0,1266.67775,126.667775,BAIXO
Xaxim,Outras Bacias,31918.0,11067.5665,1106.75665,BAIXO
Zortéa,Outras Bacias,3930.0,1362.7275,136.27275,BAIXO
Balneário Rincão,Outras Bacias,15981.0,5541.41175,554.1411750000001,BAIXO
